route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"101",1548_PO,1548_2532,"Kopiec Kościuszki",,0,PO_101-01_2,946856,0,0
"101",1549_PO,1549_2458,"Kopiec Kościuszki",,0,PO_101-01_2,948486,0,0
"100",1548_PO,1548_2537,"Plac Na Stawach",,1,PO_101-01_3,946802,0,0
"100",1549_PO,1549_2462,"Plac Na Stawach",,1,PO_101-01_3,948432,0,0
"100",1548_PO,1548_2541,"Kopiec Kościuszki",,0,PO_101-01_4,946801,0,0
"100",1549_PO,1549_2465,"Kopiec Kościuszki",,0,PO_101-01_4,948431,0,0
"101",1548_PO,1548_2545,"Os. Podwawelskie",,1,PO_101-01_5,946854,0,0
"101",1549_PO,1549_2472,"Os. Podwawelskie",,1,PO_101-01_5,948484,0,0
"101",1548_PO,1548_2549,"Kopiec Kościuszki",,0,PO_101-01_6,946856,0,0
"101",1549_PO,1549_2475,"Kopiec Kościuszki",,0,PO_101-01_6,948486,0,0
"100",1548_PO,1548_2552,"Plac Na Stawach",,1,PO_101-01_7,946802,0,0
"100",1549_PO,1549_2479,"Plac Na Stawach",,1,PO_101-01_7,948432,0,0
"100",1548_PO,1548_2557,"Kopiec Kościuszki",,0,PO_101-01_8,946801,0,0
"100",1549_PO,1549_2482,"Kopiec Kościuszki",,0,PO_101-01_8,948431,0,0
"101",1548_PO,1548_2560,"Os. Podwawelskie",,1,PO_101-01_9,946854,0,0
"101",1549_PO,1549_2485,"Os. Podwawelskie",,1,PO_101-01_9,948484,0,0
"101",1548_PO,1548_2563,"Kopiec Kościuszki",,0,PO_101-01_10,946856,0,0
"101",1549_PO,1549_2491,"Kopiec Kościuszki",,0,PO_101-01_10,948486,0,0
"100",1548_PO,1548_2567,"Plac Na Stawach",,1,PO_101-01_11,946802,0,0
"100",1549_PO,1549_2495,"Plac Na Stawach",,1,PO_101-01_11,948432,0,0
"100",1548_PO,1548_2573,"Kopiec Kościuszki",,0,PO_101-01_12,946801,0,0
"100",1549_PO,1549_2499,"Kopiec Kościuszki",,0,PO_101-01_12,948431,0,0
"101",1548_PO,1548_2577,"Os. Podwawelskie",,1,PO_101-01_13,946854,0,0
"101",1549_PO,1549_2504,"Os. Podwawelskie",,1,PO_101-01_13,948484,0,0
"101",1548_PO,1548_2579,"Kopiec Kościuszki",,0,PO_101-01_14,946856,0,0
"101",1549_PO,1549_2508,"Kopiec Kościuszki",,0,PO_101-01_14,948486,0,0
"100",1548_PO,1548_2583,"Plac Na Stawach",,1,PO_101-01_15,946802,0,0
"100",1549_PO,1549_2510,"Plac Na Stawach",,1,PO_101-01_15,948432,0,0
"100",1548_PO,1548_2587,"Kopiec Kościuszki",,0,PO_101-01_16,946801,0,0
"100",1549_PO,1549_2513,"Kopiec Kościuszki",,0,PO_101-01_16,948431,0,0
"101",1548_PO,1548_2591,"Os. Podwawelskie",,1,PO_101-01_17,946854,0,0
"101",1549_PO,1549_2517,"Os. Podwawelskie",,1,PO_101-01_17,948484,0,0
"101",1548_PO,1548_2595,"Kopiec Kościuszki",,0,PO_101-01_18,946856,0,0
"101",1549_PO,1549_2522,"Kopiec Kościuszki",,0,PO_101-01_18,948486,0,0
"100",1548_PO,1548_2599,"Plac Na Stawach",,1,PO_101-01_19,946802,0,0
"100",1549_PO,1549_2526,"Plac Na Stawach",,1,PO_101-01_19,948432,0,0
"100",1548_PO,1548_2603,"Kopiec Kościuszki",,0,PO_101-01_20,946801,0,0
"100",1549_PO,1549_2531,"Kopiec Kościuszki",,0,PO_101-01_20,948431,0,0
"101",1548_PO,1548_2607,"Os. Podwawelskie",,1,PO_101-01_21,946854,0,0
"101",1549_PO,1549_2535,"Os. Podwawelskie",,1,PO_101-01_21,948484,0,0
"101",1548_PO,1548_2611,"Kopiec Kościuszki",,0,PO_101-01_22,946856,0,0
"101",1549_PO,1549_2540,"Kopiec Kościuszki",,0,PO_101-01_22,948486,0,0
"100",1548_PO,1548_2617,"Plac Na Stawach",,1,PO_101-01_23,946802,0,0
"100",1549_PO,1549_2543,"Plac Na Stawach",,1,PO_101-01_23,948432,0,0
"100",1548_PO,1548_2622,"Kopiec Kościuszki",,0,PO_101-01_24,946801,0,0
"100",1549_PO,1549_2546,"Kopiec Kościuszki",,0,PO_101-01_24,948431,0,0
"101",1548_PO,1548_2624,"Os. Podwawelskie",,1,PO_101-01_25,946854,0,0
"101",1549_PO,1549_2551,"Os. Podwawelskie",,1,PO_101-01_25,948484,0,0
"101",1548_PO,1548_2629,"Kopiec Kościuszki",,0,PO_101-01_26,946856,0,0
"101",1549_PO,1549_2554,"Kopiec Kościuszki",,0,PO_101-01_26,948486,0,0
"100",1548_PO,1548_2632,"Plac Na Stawach",,1,PO_101-01_27,946802,0,0
"100",1549_PO,1549_2557,"Plac Na Stawach",,1,PO_101-01_27,948432,0,0
"100",1548_PO,1548_2637,"Kopiec Kościuszki",,0,PO_101-01_28,946801,0,0
"100",1549_PO,1549_2561,"Kopiec Kościuszki",,0,PO_101-01_28,948431,0,0
"101",1548_PO,1548_2641,"Os. Podwawelskie",,1,PO_101-01_29,946854,0,0
"101",1549_PO,1549_2565,"Os. Podwawelskie",,1,PO_101-01_29,948484,0,0
"101",1548_PO,1548_2645,"Kopiec Kościuszki",,0,PO_101-01_30,946856,0,0
"101",1549_PO,1549_2569,"Kopiec Kościuszki",,0,PO_101-01_30,948486,0,0
"100",1548_PO,1548_2649,"Plac Na Stawach",,1,PO_101-01_31,946802,0,0
"100",1549_PO,1549_2573,"Plac Na Stawach",,1,PO_101-01_31,948432,0,0
"100",1548_PO,1548_2653,"Kopiec Kościuszki",,0,PO_101-01_32,946801,0,0
"100",1549_PO,1549_2577,"Kopiec Kościuszki",,0,PO_101-01_32,948431,0,0
"101",1548_PO,1548_2656,"Os. Podwawelskie",,1,PO_101-01_33,946854,0,0
"101",1549_PO,1549_2581,"Os. Podwawelskie",,1,PO_101-01_33,948484,0,0
"101",1548_PO,1548_2660,"Kopiec Kościuszki",,0,PO_101-01_34,946856,0,0
